time,coin,dir,px,sz,ntl,fee,closedPnl
2025/12/6 11:30:09,BTC,Open Long,89498.7402816322,6.12217,547926.5027900002,246.566915,-246.566915
2025/12/6 17:02:48,BTC,Open Long,89322,1.77873,158879.72105999998,71.495874,-71.495874
2025/12/7 23:03:02,BTC,Open Long,88209,2.80285,247236.59564999997,111.256461,-111.256461
2025/12/8 00:02:59,BTC,Close Long,89345,2.62478,234510.9691,105.529933,454.598119
2025/12/8 02:02:58,BTC,Close Long,91123,2.17604,198287.29292,89.22928,4244.136776
2025/12/8 06:02:56,BTC,Open Long,89941,1.91887,172585.08667000002,77.663287,-77.663287
2025/12/8 07:02:57,BTC,Open Long,89675,1.49256,133845.318,60.230393,-60.230393
2025/12/8 08:03:00,BTC,Close Long,90240.5108429713,2.27659,205440.64458000005,92.448284,1854.2885099999999
2025/12/8 16:02:49,BTC,Close Long,91463,1.81854,166329.12402000002,74.848104,3703.3505999999998
2025/12/9 00:03:02,BTC,Open Long,89708,2.34729,210570.69132,94.756807,-94.756807
2025/12/9 22:02:49,BTC,Open Long,90504,2.44735,221494.96440000003,99.672725,-99.672725
2025/12/10 00:02:57,BTC,Close Long,93230.7119539389,4.75542,443351.1922400001,199.508026,16426.923766
2025/12/10 01:02:59,BTC,Close Long,94206.7545968869,5.25845,495381.50870999985,222.921668,23294.731362000002
2025/12/13 08:03:02,BTC,Open Long,90308.3302230068,25.1517,2271408.0292700003,1022.133572,-1022.133572
2025/12/15 08:02:51,BTC,Open Long,88307.3462077852,4.82739,426294.00001000025,170.517581,-170.517581
2025/12/15 10:02:47,BTC,Close Long,89349,6.90349,616819.9280099999,246.727966,-4644.941445
2025/12/15 23:03:02,BTC,Open Long,87661,7.22315,633188.55215,253.275417,-253.275417
2025/12/16 02:02:59,BTC,Open Long,85723,7.65049,655822.95427,262.329168,-262.329168
2025/12/17 07:02:58,BTC,Close Long,87717,5.50482,482866.29594,193.14651,-5516.857932
2025/12/17 17:02:54,BTC,Open Long,86393,6.04616,522345.90088000003,208.938346,-208.938346
2025/12/17 23:03:02,BTC,Close Long,89632.3384053507,12.28571,1101196.916270001,440.478746,15630.930342
2025/12/18 00:02:58,BTC,Open Long,87469.4166279352,11.51087,1006849.0837800006,402.73962,-402.73962
2025/12/18 18:02:50,BTC,Close Long,87230.9832829642,4.831,421412.8802400001,168.56514,-4189.4872
2025/12/18 22:03:00,BTC,Close Long,89139.2366302862,9.45196,842540.49906,337.016181,9832.693811
2025/12/19 02:02:58,BTC,Open Long,86349.6324011746,11.82667,1021228.6070299996,408.491412,-408.491412
2025/12/19 04:02:58,BTC,Open Long,84977,5.18234,440379.70618,176.151876,-176.151876
2025/12/19 12:03:01,BTC,Close Long,86860.8518937336,6.73854,585315.3249199997,234.126108,-2294.421952
2025/12/19 14:02:57,BTC,Close Long,87020.2231948291,5.69489,495570.5988700003,198.228212,-1031.828016
2025/12/19 17:03:00,BTC,Close Long,87955,5.996,527378.18,210.951269,4516.295131
2025/12/20 02:02:59,BTC,Open Long,87069,7.93848,691195.51512,276.478199,-276.478199
2025/12/20 04:02:59,BTC,Close Long,87745.5220628923,5.25883,461438.7837899999,184.575492,2995.555034
2025/12/22 04:02:54,BTC,Close Long,88436.1226085937,5.37393,475249.53236999986,190.099796,6770.873229999999
2025/12/22 20:02:50,BTC,Close Long,89980,5.35864,482170.42720000003,192.868157,15021.382531
2025/12/23 04:02:59,BTC,Open Long,88065,7.52767,662924.2585499999,265.169694,-265.169694
2025/12/23 22:02:54,BTC,Open Long,87683.3566760241,6.88224,603457.90465,241.383131,-241.383131
2025/12/26 00:02:49,BTC,Close Long,88303.8992175905,7.28391,643197.6545499996,257.279028,5470.053706
2025/12/26 09:02:49,BTC,Open Long,87209,6.08937,531047.86833,212.419142,-212.419142
